date,state,temperature_c,rainfall_mm,humidity_percent,wind_speed_kmh
2022-01-26,Punjab,34.3,3.0,84,14.1
2022-01-26,Uttar Pradesh,30.0,1.3,68,8.7
2022-01-27,Delhi,31.9,0.1,85,12.4
2022-01-27,Maharashtra,30.3,0.5,90,15.4
2022-01-27,Karnataka,34.2,3.6,81,19.0
2022-01-27,Punjab,30.5,1.6,61,7.3
2022-01-27,Uttar Pradesh,32.2,1.0,63,11.3
2022-01-28,Delhi,29.8,0.3,69,6.9
2022-01-28,Maharashtra,31.3,1.9,76,19.9
2022-01-28,Karnataka,29.8,4.3,60,17.0
2022-01-28,Punjab,33.5,4.3,79,16.9
2022-01-28,Uttar Pradesh,31.5,1.0,63,18.5
2022-01-29,Delhi,30.7,4.5,63,14.4
2022-01-29,Maharashtra,31.8,4.6,63,8.5
2022-01-29,Karnataka,32.7,4.9,69,17.0
2022-01-29,Punjab,32.2,3.8,78,16.8
2022-01-29,Uttar Pradesh,30.3,0.5,74,12.0
2022-01-30,Delhi,34.6,0.1,81,6.2
2022-01-30,Maharashtra,32.3,0.8,62,16.3
2022-01-30,Karnataka,32.0,3.2,62,18.2
2022-01-30,Punjab,34.5,2.3,80,17.8
2022-01-30,Uttar Pradesh,33.4,0.4,67,7.8
2022-01-31,Delhi,32.5,2.0,69,19.3
2022-01-31,Maharashtra,33.3,4.5,72,15.5
2022-01-31,Karnataka,33.6,4.0,84,10.0
2022-01-31,Punjab,34.5,1.4,67,19.1
2022-01-31,Uttar Pradesh,32.1,4.4,64,14.0
2022-02-01,Delhi,34.8,0.3,82,7.6
2022-02-01,Maharashtra,34.7,4.9,89,10.3
2022-02-01,Karnataka,30.6,0.5,62,12.2
2022-02-01,Punjab,31.4,3.6,84,15.9
2022-02-01,Uttar Pradesh,32.9,0.9,71,12.9
2022-02-02,Delhi,31.8,3.0,73,10.1
2022-02-02,Maharashtra,31.5,4.3,74,5.5
2022-02-02,Karnataka,32.7,4.4,80,9.0
2022-02-02,Punjab,31.7,0.1,69,8.5
2022-02-02,Uttar Pradesh,34.0,2.6,90,10.2
2022-02-03,Delhi,34.5,4.9,88,8.7
2022-02-03,Maharashtra,32.7,0.5,88,7.2
2022-02-03,Karnataka,31.9,5.0,71,7.3
2022-02-03,Punjab,34.6,3.6,67,5.8
2022-02-03,Uttar Pradesh,31.3,1.4,83,6.2
2022-02-04,Delhi,30.8,0.5,61,6.8
2022-02-04,Maharashtra,31.2,2.7,75,16.8
2022-02-04,Karnataka,31.2,3.6,75,6.6
2022-02-04,Punjab,32.8,2.8,88,16.1
2022-02-04,Uttar Pradesh,32.2,4.6,74,10.5
2022-02-05,Delhi,33.2,2.4,88,7.1
2022-02-05,Maharashtra,34.1,1.3,66,10.5
2022-02-05,Karnataka,35.6,2.2,81,16.6
2022-02-05,Punjab,32.2,2.5,65,8.3
2022-02-05,Uttar Pradesh,31.5,4.9,63,12.2
2022-02-06,Delhi,33.1,5.0,62,9.9
2022-02-06,Maharashtra,32.0,3.5,69,18.3
2022-02-06,Karnataka,35.1,0.8,63,17.9
2022-02-06,Punjab,33.9,4.5,85,18.9
2022-02-06,Uttar Pradesh,35.2,1.4,65,7.6
2022-02-07,Delhi,35.6,3.3,67,17.4
2022-02-07,Maharashtra,35.9,0.1,61,17.6
2022-02-07,Karnataka,31.1,3.7,90,5.0
2022-02-07,Punjab,35.6,4.4,65,10.6
2022-02-07,Uttar Pradesh,33.8,1.1,68,8.8
2022-02-08,Delhi,31.4,3.5,62,18.7
2022-02-08,Maharashtra,34.1,4.7,68,18.5
2022-02-08,Karnataka,32.3,1.9,86,17.5
2022-02-08,Punjab,35.1,4.7,63,5.8
2022-02-08,Uttar Pradesh,35.8,4.8,67,9.3
2022-02-09,Delhi,36.0,2.6,81,19.6
2022-02-09,Maharashtra,31.9,2.1,83,8.5
2022-02-09,Karnataka,33.8,3.1,73,7.9
2022-02-09,Punjab,32.1,0.1,66,16.8
2022-02-09,Uttar Pradesh,33.2,3.1,82,8.7
2022-02-10,Delhi,31.5,1.8,71,7.5
2022-02-10,Maharashtra,32.1,0.8,66,13.8
2022-02-10,Karnataka,35.6,0.6,69,8.1
2022-02-10,Punjab,33.3,0.5,84,15.2
2022-02-10,Uttar Pradesh,32.4,0.5,74,17.6
2022-02-11,Delhi,33.3,4.7,81,9.3
2022-02-11,Maharashtra,32.7,2.6,76,7.6
2022-02-11,Karnataka,35.9,3.8,78,9.8
2022-02-11,Punjab,33.9,2.7,76,15.2
2022-02-11,Uttar Pradesh,33.0,1.1,62,11.7
2022-02-12,Delhi,34.3,1.9,68,11.9
2022-02-12,Maharashtra,33.2,4.5,76,18.5
2022-02-12,Karnataka,33.8,4.1,89,6.2
2022-02-12,Punjab,33.9,1.9,88,18.2
2022-02-12,Uttar Pradesh,32.7,3.3,81,12.4
2022-02-13,Delhi,33.2,2.3,61,17.8
2022-02-13,Maharashtra,32.7,1.9,65,5.7
2022-02-13,Karnataka,34.8,1.4,80,10.1
2022-02-13,Punjab,36.3,2.1,67,19.8
2022-02-13,Uttar Pradesh,33.2,2.1,82,19.6
2022-02-14,Delhi,33.3,3.2,80,9.4
2022-02-14,Maharashtra,33.5,0.1,82,11.2
2022-02-14,Karnataka,36.4,2.5,64,16.6
2022-02-14,Punjab,32.6,4.8,67,8.8
2022-02-14,Uttar Pradesh,37.0,1.5,61,12.5
2022-02-15,Delhi,35.8,4.3,65,9.3
2022-02-15,Maharashtra,34.4,0.2,82,9.8
2022-02-15,Karnataka,34.6,0.7,87,17.8
2022-02-15,Punjab,32.7,0.8,82,12.6
2022-02-15,Uttar Pradesh,35.8,2.5,76,5.0
2022-02-16,Delhi,35.0,4.3,65,10.5
2022-02-16,Maharashtra,34.6,2.3,66,12.0
2022-02-16,Karnataka,33.3,0.9,70,17.9
2022-02-16,Punjab,32.7,3.9,68,7.5
2022-02-16,Uttar Pradesh,34.6,3.4,68,11.9
2022-02-17,Delhi,33.9,4.4,86,12.1
2022-02-17,Maharashtra,36.4,0.9,69,8.1
2022-02-17,Karnataka,34.4,1.5,81,19.6
2022-02-17,Punjab,35.6,0.9,72,8.9
2022-02-17,Uttar Pradesh,35.3,1.9,86,9.5
2022-02-18,Delhi,33.2,5.0,87,10.2
2022-02-18,Maharashtra,35.5,4.6,74,8.4
2022-02-18,Karnataka,33.0,0.5,72,13.3
2022-02-18,Punjab,36.7,2.2,87,12.6
2022-02-18,Uttar Pradesh,34.6,3.9,65,16.5
2022-02-19,Delhi,35.5,0.7,61,19.7
2022-02-19,Maharashtra,36.2,0.8,69,9.8
2022-02-19,Karnataka,36.7,0.4,70,11.7
2022-02-19,Punjab,36.6,2.9,67,6.9
2022-02-19,Uttar Pradesh,34.9,4.0,66,13.7
2022-02-20,Delhi,34.1,2.1,73,12.0
2022-02-20,Maharashtra,32.9,1.2,74,5.1
2022-02-20,Karnataka,37.3,3.0,75,9.3
2022-02-20,Punjab,36.4,2.0,85,11.8
2022-02-20,Uttar Pradesh,35.0,0.4,77,10.4
2022-02-21,Delhi,35.3,3.3,73,5.9
2022-02-21,Maharashtra,34.1,3.3,89,9.9
2022-02-21,Karnataka,36.1,3.0,63,5.6
2022-02-21,Punjab,34.3,1.9,68,12.8
2022-02-21,Uttar Pradesh,36.7,2.1,80,13.9
2022-02-22,Delhi,37.8,1.9,82,14.0
2022-02-22,Maharashtra,33.6,2.9,72,5.6
2022-02-22,Karnataka,35.2,4.3,75,14.7
2022-02-22,Punjab,37.2,4.6,64,13.0
2022-02-22,Uttar Pradesh,37.6,1.0,71,5.4
2022-02-23,Delhi,33.5,1.9,80,18.4
2022-02-23,Maharashtra,36.8,4.3,61,10.3
2022-02-23,Karnataka,35.7,4.0,76,9.5
2022-02-23,Punjab,35.9,4.1,79,18.7
2022-02-23,Uttar Pradesh,33.2,2.7,89,10.2
2022-02-24,Delhi,35.0,4.4,64,10.9
2022-02-24,Maharashtra,35.9,2.7,64,12.0
2022-02-24,Karnataka,34.0,5.0,67,11.3
2022-02-24,Punjab,34.6,1.8,63,15.2
2022-02-24,Uttar Pradesh,36.7,1.3,65,14.9
2022-02-25,Delhi,34.2,0.1,73,7.1
2022-02-25,Maharashtra,33.7,4.5,76,12.3
2022-02-25,Karnataka,34.9,2.9,65,18.8
2022-02-25,Punjab,35.4,1.0,73,8.8
2022-02-25,Uttar Pradesh,35.5,2.4,62,7.8
2022-02-26,Delhi,36.9,3.2,69,15.0
2022-02-26,Maharashtra,37.4,0.4,62,6.3
2022-02-26,Karnataka,35.9,0.8,72,6.1
2022-02-26,Punjab,36.9,1.4,83,15.6
2022-02-26,Uttar Pradesh,34.2,2.7,62,10.0
2022-02-27,Delhi,37.4,0.9,88,6.6
2022-02-27,Maharashtra,34.2,0.4,79,7.4
2022-02-27,Karnataka,37.9,4.1,77,6.3
2022-02-27,Punjab,33.4,1.9,75,14.4
2022-02-27,Uttar Pradesh,36.9,0.1,62,13.2
2022-02-28,Delhi,37.5,4.4,89,10.8
2022-02-28,Maharashtra,34.9,4.7,88,17.8
2022-02-28,Karnataka,34.1,0.8,65,6.4
2022-02-28,Punjab,37.9,2.6,80,5.3
2022-02-28,Uttar Pradesh,36.0,1.1,73,13.2
2022-03-01,Delhi,35.4,1.8,67,15.4
2022-03-01,Maharashtra,38.3,4.0,62,5.2
2022-03-01,Karnataka,38.2,1.8,63,9.8
2022-03-01,Punjab,34.5,0.5,63,10.8
2022-03-01,Uttar Pradesh,37.6,0.2,78,17.5
2022-03-02,Delhi,35.7,3.1,71,18.9
2022-03-02,Maharashtra,33.8,4.9,84,19.8
2022-03-02,Karnataka,35.8,0.2,85,17.6
2022-03-02,Punjab,36.8,2.9,80,5.1
2022-03-02,Uttar Pradesh,34.9,2.8,68,11.0
2022-03-03,Delhi,37.9,2.6,81,17.7
2022-03-03,Maharashtra,36.1,4.2,86,7.1
2022-03-03,Karnataka,35.2,4.7,65,15.5
2022-03-03,Punjab,37.9,0.3,64,7.6
2022-03-03,Uttar Pradesh,35.0,1.5,83,12.5
2022-03-04,Delhi,34.4,3.5,64,16.6
2022-03-04,Maharashtra,35.1,3.8,64,12.7
2022-03-04,Karnataka,35.3,4.7,65,17.1
2022-03-04,Punjab,34.2,0.2,88,18.1
2022-03-04,Uttar Pradesh,37.4,0.4,63,6.7
2022-03-05,Delhi,36.2,1.6,80,9.6
2022-03-05,Maharashtra,38.5,4.8,64,7.5
2022-03-05,Karnataka,35.1,0.3,65,18.7
2022-03-05,Punjab,38.1,2.9,84,9.7
2022-03-05,Uttar Pradesh,38.5,1.2,82,8.5
2022-03-06,Delhi,35.3,2.7,66,19.6
2022-03-06,Maharashtra,38.1,0.2,73,15.9
2022-03-06,Karnataka,34.8,1.5,63,17.8
2022-03-06,Punjab,37.7,1.4,78,9.7
2022-03-06,Uttar Pradesh,37.0,3.2,88,16.7
2022-03-07,Delhi,35.1,2.1,69,8.1
2022-03-07,Maharashtra,34.3,3.9,63,19.6
2022-03-07,Karnataka,35.0,3.8,76,16.3
2022-03-07,Punjab,38.0,3.1,67,15.3
2022-03-07,Uttar Pradesh,37.2,4.1,77,6.8
2022-03-08,Delhi,39.0,4.9,66,11.2
2022-03-08,Maharashtra,37.3,2.3,76,19.6
2022-03-08,Karnataka,38.8,0.7,75,13.5
2022-03-08,Punjab,36.1,1.9,71,5.9
2022-03-08,Uttar Pradesh,35.8,3.3,79,13.7
2022-03-09,Delhi,35.5,2.3,83,16.3
2022-03-09,Maharashtra,38.7,0.4,83,5.5
2022-03-09,Karnataka,36.3,3.0,78,9.7
2022-03-09,Punjab,37.6,2.9,67,12.1
2022-03-09,Uttar Pradesh,39.1,2.1,66,9.1
2022-03-10,Delhi,36.9,3.5,66,15.7
2022-03-10,Maharashtra,35.8,2.9,66,5.8
2022-03-10,Karnataka,38.1,0.9,87,16.5
2022-03-10,Punjab,37.8,2.1,86,9.0
2022-03-10,Uttar Pradesh,36.9,1.9,72,19.9
2022-03-11,Delhi,35.9,1.2,73,14.8
2022-03-11,Maharashtra,36.7,2.0,73,9.0
2022-03-11,Karnataka,34.9,0.9,62,8.1
2022-03-11,Punjab,36.1,2.7,78,6.5
2022-03-11,Uttar Pradesh,38.7,3.9,82,8.1
2022-03-12,Delhi,38.8,0.3,76,10.7
2022-03-12,Maharashtra,36.0,2.3,64,14.6
2022-03-12,Karnataka,36.5,4.5,80,8.7
2022-03-12,Punjab,38.0,1.3,68,6.8
2022-03-12,Uttar Pradesh,37.6,4.2,86,18.6
2022-03-13,Delhi,38.6,0.8,77,6.5
2022-03-13,Maharashtra,37.4,2.8,77,7.2
2022-03-13,Karnataka,34.6,2.1,77,5.1
2022-03-13,Punjab,38.1,4.6,64,7.9
2022-03-13,Uttar Pradesh,35.1,4.8,64,18.1
2022-03-14,Delhi,37.3,3.1,88,13.1
2022-03-14,Maharashtra,37.9,0.2,74,14.4
2022-03-14,Karnataka,38.0,3.9,83,12.5
2022-03-14,Punjab,35.8,3.9,64,7.6
2022-03-14,Uttar Pradesh,39.4,0.9,62,5.6
2022-03-15,Delhi,35.4,4.3,80,8.9
2022-03-15,Maharashtra,35.0,0.8,61,15.5
2022-03-15,Karnataka,35.0,0.4,86,7.6
2022-03-15,Punjab,37.6,2.4,74,5.4
2022-03-15,Uttar Pradesh,35.1,3.5,65,11.0
2022-03-16,Delhi,38.2,2.9,65,13.8
2022-03-16,Maharashtra,39.5,4.9,88,8.4
2022-03-16,Karnataka,39.5,1.1,74,14.4
2022-03-16,Punjab,35.2,5.0,86,16.3
2022-03-16,Uttar Pradesh,39.4,2.6,60,14.6
2022-03-17,Delhi,36.7,0.2,86,6.5
2022-03-17,Maharashtra,38.1,1.6,71,18.3
2022-03-17,Karnataka,36.4,0.8,88,7.1
2022-03-17,Punjab,35.9,1.5,76,15.3
2022-03-17,Uttar Pradesh,39.2,3.7,67,13.5
2022-03-18,Delhi,39.3,3.8,80,9.4
2022-03-18,Maharashtra,36.2,2.2,85,14.7
2022-03-18,Karnataka,36.6,2.9,72,12.1
2022-03-18,Punjab,37.8,2.6,66,18.2
2022-03-18,Uttar Pradesh,38.8,0.9,76,18.7
2022-03-19,Delhi,37.4,4.8,66,13.5
2022-03-19,Maharashtra,36.4,1.4,77,16.5
2022-03-19,Karnataka,39.7,1.9,87,5.2
2022-03-19,Punjab,39.0,3.6,69,5.1
2022-03-19,Uttar Pradesh,37.2,2.8,76,10.1
2022-03-20,Delhi,35.1,3.4,74,12.2
2022-03-20,Maharashtra,38.6,3.4,88,18.5
2022-03-20,Karnataka,35.7,3.5,84,6.8
2022-03-20,Punjab,37.2,4.5,76,13.5
2022-03-20,Uttar Pradesh,36.9,3.5,65,12.6
2022-03-21,Delhi,38.8,3.6,63,6.5
2022-03-21,Maharashtra,36.7,0.1,80,7.0
2022-03-21,Karnataka,35.5,3.4,74,10.7
2022-03-21,Punjab,37.8,1.8,75,13.2
2022-03-21,Uttar Pradesh,38.5,3.4,79,8.1
2022-03-22,Delhi,38.5,0.3,79,16.3
2022-03-22,Maharashtra,36.6,1.3,77,15.3
2022-03-22,Karnataka,36.0,3.0,77,16.6
2022-03-22,Punjab,37.4,1.9,70,12.8
2022-03-22,Uttar Pradesh,39.3,0.3,65,10.8
2022-03-23,Delhi,38.5,4.4,79,16.7
2022-03-23,Maharashtra,37.1,3.5,89,9.4
2022-03-23,Karnataka,35.4,1.8,79,5.0
2022-03-23,Punjab,39.0,3.4,82,19.4
2022-03-23,Uttar Pradesh,37.0,0.6,81,19.4
2022-03-24,Delhi,36.2,0.1,76,19.3
2022-03-24,Maharashtra,36.7,1.8,64,14.0
2022-03-24,Karnataka,35.4,3.4,61,18.7
2022-03-24,Punjab,36.9,0.7,87,7.2
2022-03-24,Uttar Pradesh,39.5,1.2,88,12.7
2022-03-25,Delhi,35.2,3.2,86,7.1
2022-03-25,Maharashtra,36.2,4.8,77,7.0
2022-03-25,Karnataka,36.7,3.4,72,6.6
2022-03-25,Punjab,38.3,4.0,79,19.0
2022-03-25,Uttar Pradesh,39.4,2.6,73,11.3
2022-03-26,Delhi,39.0,3.6,82,7.5
2022-03-26,Maharashtra,39.8,4.0,80,17.0
2022-03-26,Karnataka,36.6,2.7,87,5.2
2022-03-26,Punjab,35.1,4.0,81,12.9
2022-03-26,Uttar Pradesh,36.7,4.1,76,12.2
2022-03-27,Delhi,38.0,4.9,74,13.5
2022-03-27,Maharashtra,38.7,4.5,68,13.1
2022-03-27,Karnataka,35.4,0.7,60,12.2
2022-03-27,Punjab,36.5,2.2,65,19.1
2022-03-27,Uttar Pradesh,37.6,4.5,84,14.7
2022-03-28,Delhi,37.5,0.1,80,7.8
2022-03-28,Maharashtra,36.4,2.0,85,12.4
2022-03-28,Karnataka,35.0,4.6,77,18.3
2022-03-28,Punjab,38.8,2.9,88,10.3
2022-03-28,Uttar Pradesh,39.8,2.2,84,10.2
2022-03-29,Delhi,39.6,4.5,63,6.6
2022-03-29,Maharashtra,39.5,2.6,62,10.4
2022-03-29,Karnataka,39.1,3.3,69,14.7
2022-03-29,Punjab,38.5,1.6,68,7.5
2022-03-29,Uttar Pradesh,38.4,3.8,64,13.1
2022-03-30,Delhi,37.6,4.6,78,16.5
2022-03-30,Maharashtra,35.7,3.3,85,15.3
2022-03-30,Karnataka,36.9,3.8,63,19.4
2022-03-30,Punjab,37.7,4.6,84,8.6
2022-03-30,Uttar Pradesh,39.3,3.4,72,18.7
2022-03-31,Delhi,38.0,1.1,89,14.0
2022-03-31,Maharashtra,39.9,2.9,85,20.0
2022-03-31,Karnataka,36.0,3.1,70,10.8
2022-03-31,Punjab,35.3,1.5,73,10.5
2022-03-31,Uttar Pradesh,36.0,3.9,77,10.3
2022-04-01,Delhi,39.4,0.8,86,10.0
2022-04-01,Maharashtra,38.4,4.7,75,12.5
2022-04-01,Karnataka,38.6,1.6,69,8.8
2022-04-01,Punjab,35.1,1.9,85,16.5
2022-04-01,Uttar Pradesh,36.4,0.1,62,8.9
2022-04-02,Delhi,37.6,1.1,83,5.9
2022-04-02,Maharashtra,38.0,4.5,81,9.2
2022-04-02,Karnataka,39.8,0.0,73,8.3
2022-04-02,Punjab,36.0,2.6,62,13.1
2022-04-02,Uttar Pradesh,39.2,1.2,84,10.4
2022-04-03,Delhi,36.7,3.8,68,6.4
2022-04-03,Maharashtra,36.5,3.7,76,7.8
2022-04-03,Karnataka,39.7,4.6,64,15.4
2022-04-03,Punjab,37.0,1.6,85,16.8
2022-04-03,Uttar Pradesh,35.4,3.1,78,8.8
2022-04-04,Delhi,39.9,0.7,68,6.8
2022-04-04,Maharashtra,35.4,3.6,82,12.9
2022-04-04,Karnataka,36.6,5.0,70,17.7
2022-04-04,Punjab,36.0,0.0,84,19.2
2022-04-04,Uttar Pradesh,36.0,0.5,73,6.2
2022-04-05,Delhi,35.1,4.2,87,8.6
2022-04-05,Maharashtra,36.2,2.4,67,6.8
2022-04-05,Karnataka,38.3,2.7,75,8.3
2022-04-05,Punjab,35.4,1.2,73,12.3
2022-04-05,Uttar Pradesh,39.2,1.5,64,6.6
2022-04-06,Delhi,39.1,4.4,87,11.8
2022-04-06,Maharashtra,39.9,3.5,88,12.1
2022-04-06,Karnataka,36.3,0.9,67,17.2
2022-04-06,Punjab,38.3,4.5,68,14.6
2022-04-06,Uttar Pradesh,37.8,2.6,82,11.1
2022-04-07,Delhi,38.5,3.0,74,6.1
2022-04-07,Maharashtra,37.1,0.3,84,11.7
2022-04-07,Karnataka,39.4,1.6,63,14.2
2022-04-07,Punjab,36.3,2.7,61,14.4
2022-04-07,Uttar Pradesh,36.7,3.3,63,13.2
2022-04-08,Delhi,38.0,2.1,64,13.1
2022-04-08,Maharashtra,38.2,2.7,82,9.4
2022-04-08,Karnataka,39.6,1.3,79,10.6
2022-04-08,Punjab,35.6,4.1,74,10.5
2022-04-08,Uttar Pradesh,37.9,0.6,64,17.8
2022-04-09,Delhi,39.3,3.6,89,9.8
2022-04-09,Maharashtra,35.4,3.4,85,10.2
2022-04-09,Karnataka,35.0,1.9,66,6.9
2022-04-09,Punjab,38.0,3.4,89,16.4
2022-04-09,Uttar Pradesh,38.9,1.1,66,11.3
2022-04-10,Delhi,35.6,2.0,87,10.6
2022-04-10,Maharashtra,36.0,2.4,76,7.5
2022-04-10,Karnataka,35.3,1.8,83,6.1
2022-04-10,Punjab,38.1,4.4,75,6.1
2022-04-10,Uttar Pradesh,35.4,2.2,68,16.8
2022-04-11,Delhi,36.8,0.3,68,19.7
2022-04-11,Maharashtra,35.6,2.3,69,16.2
2022-04-11,Karnataka,35.5,4.1,81,17.2
2022-04-11,Punjab,37.2,0.7,69,8.6
