date,crop,market,state,city,price_per_kg,quantity_traded,quality_grade
2022-01-02,Potato,Azadpur Mandi,Delhi,Delhi,15.36,2971,A
2022-01-02,Potato,Vashi Market,Maharashtra,Mumbai,20.52,5709,B
2022-01-02,Potato,Yeshwanthpur,Karnataka,Bangalore,19.09,5410,B
2022-01-02,Potato,Ludhiana Mandi,Punjab,Ludhiana,21.06,9191,A
2022-01-02,Potato,Lucknow Mandi,Uttar Pradesh,Lucknow,20.80,2937,A
2022-01-02,Wheat,Azadpur Mandi,Delhi,Delhi,20.34,10930,C
2022-01-02,Wheat,Vashi Market,Maharashtra,Mumbai,23.57,4255,A
2022-01-02,Wheat,Yeshwanthpur,Karnataka,Bangalore,24.02,2454,B
2022-01-02,Wheat,Ludhiana Mandi,Punjab,Ludhiana,18.72,2445,B
2022-01-02,Wheat,Lucknow Mandi,Uttar Pradesh,Lucknow,22.50,8435,C
2022-01-02,Rice,Azadpur Mandi,Delhi,Delhi,28.26,9186,C
2022-01-02,Rice,Vashi Market,Maharashtra,Mumbai,30.02,9226,C
2022-01-02,Rice,Yeshwanthpur,Karnataka,Bangalore,27.51,8393,A
2022-01-02,Rice,Ludhiana Mandi,Punjab,Ludhiana,28.28,6760,C
2022-01-02,Rice,Lucknow Mandi,Uttar Pradesh,Lucknow,25.58,9843,B
2022-01-02,Cotton,Azadpur Mandi,Delhi,Delhi,57.11,11662,A
2022-01-02,Cotton,Vashi Market,Maharashtra,Mumbai,53.04,11375,B
2022-01-02,Cotton,Yeshwanthpur,Karnataka,Bangalore,56.58,8182,B
2022-01-02,Cotton,Ludhiana Mandi,Punjab,Ludhiana,53.20,9298,C
2022-01-02,Cotton,Lucknow Mandi,Uttar Pradesh,Lucknow,56.21,2693,B
2022-01-02,Soybean,Azadpur Mandi,Delhi,Delhi,42.76,6800,C
2022-01-02,Soybean,Vashi Market,Maharashtra,Mumbai,44.10,2485,B
2022-01-02,Soybean,Yeshwanthpur,Karnataka,Bangalore,39.97,4946,A
2022-01-02,Soybean,Ludhiana Mandi,Punjab,Ludhiana,41.50,7697,C
2022-01-02,Soybean,Lucknow Mandi,Uttar Pradesh,Lucknow,40.77,2715,C
2022-01-03,Tomato,Azadpur Mandi,Delhi,Delhi,22.76,6928,C
2022-01-03,Tomato,Vashi Market,Maharashtra,Mumbai,27.70,3033,C
2022-01-03,Tomato,Yeshwanthpur,Karnataka,Bangalore,23.54,9135,A
2022-01-03,Tomato,Ludhiana Mandi,Punjab,Ludhiana,26.21,3906,A
2022-01-03,Tomato,Lucknow Mandi,Uttar Pradesh,Lucknow,22.35,4502,A
2022-01-03,Onion,Azadpur Mandi,Delhi,Delhi,31.10,2282,A
2022-01-03,Onion,Vashi Market,Maharashtra,Mumbai,35.23,2057,B
2022-01-03,Onion,Yeshwanthpur,Karnataka,Bangalore,33.11,9129,B
2022-01-03,Onion,Ludhiana Mandi,Punjab,Ludhiana,34.65,5326,C
2022-01-03,Onion,Lucknow Mandi,Uttar Pradesh,Lucknow,33.69,10062,C
2022-01-03,Potato,Azadpur Mandi,Delhi,Delhi,17.90,11891,C
2022-01-03,Potato,Vashi Market,Maharashtra,Mumbai,16.95,6154,B
2022-01-03,Potato,Yeshwanthpur,Karnataka,Bangalore,17.37,7262,A
2022-01-03,Potato,Ludhiana Mandi,Punjab,Ludhiana,16.56,7599,C
2022-01-03,Potato,Lucknow Mandi,Uttar Pradesh,Lucknow,19.10,5121,A
2022-01-03,Wheat,Azadpur Mandi,Delhi,Delhi,24.02,9791,A
2022-01-03,Wheat,Vashi Market,Maharashtra,Mumbai,22.92,11335,C
2022-01-03,Wheat,Yeshwanthpur,Karnataka,Bangalore,20.41,11408,A
2022-01-03,Wheat,Ludhiana Mandi,Punjab,Ludhiana,22.46,11111,A
2022-01-03,Wheat,Lucknow Mandi,Uttar Pradesh,Lucknow,20.96,3785,A
2022-01-03,Rice,Azadpur Mandi,Delhi,Delhi,25.51,11137,B
2022-01-03,Rice,Vashi Market,Maharashtra,Mumbai,28.07,4482,C
2022-01-03,Rice,Yeshwanthpur,Karnataka,Bangalore,29.67,5588,A
2022-01-03,Rice,Ludhiana Mandi,Punjab,Ludhiana,27.23,6490,B
2022-01-03,Rice,Lucknow Mandi,Uttar Pradesh,Lucknow,27.90,11594,B
2022-01-03,Cotton,Azadpur Mandi,Delhi,Delhi,57.45,10269,C
2022-01-03,Cotton,Vashi Market,Maharashtra,Mumbai,53.07,4204,C
2022-01-03,Cotton,Yeshwanthpur,Karnataka,Bangalore,53.34,3204,B
2022-01-03,Cotton,Ludhiana Mandi,Punjab,Ludhiana,55.89,11928,A
2022-01-03,Cotton,Lucknow Mandi,Uttar Pradesh,Lucknow,56.58,6536,A
2022-01-03,Soybean,Azadpur Mandi,Delhi,Delhi,39.88,6346,A
2022-01-03,Soybean,Vashi Market,Maharashtra,Mumbai,41.22,11932,A
2022-01-03,Soybean,Yeshwanthpur,Karnataka,Bangalore,43.81,2492,C
2022-01-03,Soybean,Ludhiana Mandi,Punjab,Ludhiana,43.90,2508,B
2022-01-03,Soybean,Lucknow Mandi,Uttar Pradesh,Lucknow,41.90,7159,B
2022-01-04,Tomato,Azadpur Mandi,Delhi,Delhi,27.98,8177,B
2022-01-04,Tomato,Vashi Market,Maharashtra,Mumbai,25.77,7444,B
2022-01-04,Tomato,Yeshwanthpur,Karnataka,Bangalore,23.71,3624,A
2022-01-04,Tomato,Ludhiana Mandi,Punjab,Ludhiana,27.94,10250,C
2022-01-04,Tomato,Lucknow Mandi,Uttar Pradesh,Lucknow,23.90,2095,C
2022-01-04,Onion,Azadpur Mandi,Delhi,Delhi,31.26,11727,A
2022-01-04,Onion,Vashi Market,Maharashtra,Mumbai,35.15,3425,B
2022-01-04,Onion,Yeshwanthpur,Karnataka,Bangalore,30.34,10251,A
2022-01-04,Onion,Ludhiana Mandi,Punjab,Ludhiana,32.39,9152,A
2022-01-04,Onion,Lucknow Mandi,Uttar Pradesh,Lucknow,31.87,5089,C
2022-01-04,Potato,Azadpur Mandi,Delhi,Delhi,20.88,3032,C
2022-01-04,Potato,Vashi Market,Maharashtra,Mumbai,17.44,9739,A
2022-01-04,Potato,Yeshwanthpur,Karnataka,Bangalore,18.58,5054,A
2022-01-04,Potato,Ludhiana Mandi,Punjab,Ludhiana,19.37,4117,B
2022-01-04,Potato,Lucknow Mandi,Uttar Pradesh,Lucknow,19.51,4468,B
2022-01-04,Wheat,Azadpur Mandi,Delhi,Delhi,22.38,3020,C
2022-01-04,Wheat,Vashi Market,Maharashtra,Mumbai,24.02,4913,A
2022-01-04,Wheat,Yeshwanthpur,Karnataka,Bangalore,23.17,11358,B
2022-01-04,Wheat,Ludhiana Mandi,Punjab,Ludhiana,19.19,2927,B
2022-01-04,Wheat,Lucknow Mandi,Uttar Pradesh,Lucknow,22.46,5155,A
2022-01-04,Rice,Azadpur Mandi,Delhi,Delhi,28.11,11001,B
2022-01-04,Rice,Vashi Market,Maharashtra,Mumbai,28.72,2457,B
2022-01-04,Rice,Yeshwanthpur,Karnataka,Bangalore,30.51,8849,B
2022-01-04,Rice,Ludhiana Mandi,Punjab,Ludhiana,29.03,10650,B
2022-01-04,Rice,Lucknow Mandi,Uttar Pradesh,Lucknow,26.64,5493,C
2022-01-04,Cotton,Azadpur Mandi,Delhi,Delhi,57.81,9840,A
2022-01-04,Cotton,Vashi Market,Maharashtra,Mumbai,56.48,11950,B
2022-01-04,Cotton,Yeshwanthpur,Karnataka,Bangalore,55.08,9298,B
2022-01-04,Cotton,Ludhiana Mandi,Punjab,Ludhiana,57.52,2170,A
2022-01-04,Cotton,Lucknow Mandi,Uttar Pradesh,Lucknow,57.36,8977,A
2022-01-04,Soybean,Azadpur Mandi,Delhi,Delhi,44.54,11179,A
2022-01-04,Soybean,Vashi Market,Maharashtra,Mumbai,43.32,2381,C
2022-01-04,Soybean,Yeshwanthpur,Karnataka,Bangalore,42.25,11603,C
2022-01-04,Soybean,Ludhiana Mandi,Punjab,Ludhiana,39.68,9576,C
2022-01-04,Soybean,Lucknow Mandi,Uttar Pradesh,Lucknow,42.52,3101,B
2022-01-05,Tomato,Azadpur Mandi,Delhi,Delhi,22.98,5187,A
2022-01-05,Tomato,Vashi Market,Maharashtra,Mumbai,25.53,3429,C
2022-01-05,Tomato,Yeshwanthpur,Karnataka,Bangalore,24.73,8810,B
2022-01-05,Tomato,Ludhiana Mandi,Punjab,Ludhiana,25.08,6190,A
2022-01-05,Tomato,Lucknow Mandi,Uttar Pradesh,Lucknow,26.59,11654,A
2022-01-05,Onion,Azadpur Mandi,Delhi,Delhi,34.48,5726,B
2022-01-05,Onion,Vashi Market,Maharashtra,Mumbai,35.28,2682,C
2022-01-05,Onion,Yeshwanthpur,Karnataka,Bangalore,32.19,3501,C
2022-01-05,Onion,Ludhiana Mandi,Punjab,Ludhiana,29.51,6420,A
2022-01-05,Onion,Lucknow Mandi,Uttar Pradesh,Lucknow,30.14,6467,C
2022-01-05,Potato,Azadpur Mandi,Delhi,Delhi,16.68,3618,B
2022-01-05,Potato,Vashi Market,Maharashtra,Mumbai,17.88,7171,C
2022-01-05,Potato,Yeshwanthpur,Karnataka,Bangalore,19.68,5329,A
2022-01-05,Potato,Ludhiana Mandi,Punjab,Ludhiana,17.14,9548,B
2022-01-05,Potato,Lucknow Mandi,Uttar Pradesh,Lucknow,18.05,8565,C
2022-01-05,Wheat,Azadpur Mandi,Delhi,Delhi,20.34,10667,B
2022-01-05,Wheat,Vashi Market,Maharashtra,Mumbai,23.13,10129,C
2022-01-05,Wheat,Yeshwanthpur,Karnataka,Bangalore,21.31,2197,A
2022-01-05,Wheat,Ludhiana Mandi,Punjab,Ludhiana,20.68,8273,C
2022-01-05,Wheat,Lucknow Mandi,Uttar Pradesh,Lucknow,21.44,5704,C
2022-01-05,Rice,Azadpur Mandi,Delhi,Delhi,26.14,3982,A
2022-01-05,Rice,Vashi Market,Maharashtra,Mumbai,29.28,6945,B
2022-01-05,Rice,Yeshwanthpur,Karnataka,Bangalore,28.48,4768,C
2022-01-05,Rice,Ludhiana Mandi,Punjab,Ludhiana,30.21,9238,B
2022-01-05,Rice,Lucknow Mandi,Uttar Pradesh,Lucknow,29.24,11387,B
2022-01-05,Cotton,Azadpur Mandi,Delhi,Delhi,52.52,6179,A
2022-01-05,Cotton,Vashi Market,Maharashtra,Mumbai,57.45,8719,C
2022-01-05,Cotton,Yeshwanthpur,Karnataka,Bangalore,53.53,8027,A
2022-01-05,Cotton,Ludhiana Mandi,Punjab,Ludhiana,56.15,8665,C
2022-01-05,Cotton,Lucknow Mandi,Uttar Pradesh,Lucknow,54.81,8385,A
2022-01-05,Soybean,Azadpur Mandi,Delhi,Delhi,39.52,11623,B
2022-01-05,Soybean,Vashi Market,Maharashtra,Mumbai,44.59,3286,A
2022-01-05,Soybean,Yeshwanthpur,Karnataka,Bangalore,42.82,5073,C
2022-01-05,Soybean,Ludhiana Mandi,Punjab,Ludhiana,40.81,9513,A
2022-01-05,Soybean,Lucknow Mandi,Uttar Pradesh,Lucknow,44.13,9121,B
2022-01-06,Tomato,Azadpur Mandi,Delhi,Delhi,27.87,3792,C
2022-01-06,Tomato,Vashi Market,Maharashtra,Mumbai,24.48,10861,B
2022-01-06,Tomato,Yeshwanthpur,Karnataka,Bangalore,27.25,2083,C
2022-01-06,Tomato,Ludhiana Mandi,Punjab,Ludhiana,28.24,7561,B
2022-01-06,Tomato,Lucknow Mandi,Uttar Pradesh,Lucknow,26.04,11614,B
2022-01-06,Onion,Azadpur Mandi,Delhi,Delhi,34.39,5800,B
2022-01-06,Onion,Vashi Market,Maharashtra,Mumbai,34.66,10420,B
2022-01-06,Onion,Yeshwanthpur,Karnataka,Bangalore,29.98,6995,C
2022-01-06,Onion,Ludhiana Mandi,Punjab,Ludhiana,30.02,5716,B
2022-01-06,Onion,Lucknow Mandi,Uttar Pradesh,Lucknow,30.91,9626,C
2022-01-06,Potato,Azadpur Mandi,Delhi,Delhi,15.57,6154,A
2022-01-06,Potato,Vashi Market,Maharashtra,Mumbai,17.60,9755,B
2022-01-06,Potato,Yeshwanthpur,Karnataka,Bangalore,19.12,8158,C
2022-01-06,Potato,Ludhiana Mandi,Punjab,Ludhiana,19.43,5996,C
2022-01-06,Potato,Lucknow Mandi,Uttar Pradesh,Lucknow,17.69,7157,A
2022-01-06,Wheat,Azadpur Mandi,Delhi,Delhi,21.11,8630,A
2022-01-06,Wheat,Vashi Market,Maharashtra,Mumbai,24.11,9339,C
2022-01-06,Wheat,Yeshwanthpur,Karnataka,Bangalore,20.37,9940,B
2022-01-06,Wheat,Ludhiana Mandi,Punjab,Ludhiana,21.02,10054,C
2022-01-06,Wheat,Lucknow Mandi,Uttar Pradesh,Lucknow,21.81,2232,C
2022-01-06,Rice,Azadpur Mandi,Delhi,Delhi,31.21,8091,B
2022-01-06,Rice,Vashi Market,Maharashtra,Mumbai,28.71,5617,B
2022-01-06,Rice,Yeshwanthpur,Karnataka,Bangalore,27.50,11653,A
2022-01-06,Rice,Ludhiana Mandi,Punjab,Ludhiana,30.94,2968,B
2022-01-06,Rice,Lucknow Mandi,Uttar Pradesh,Lucknow,26.74,3597,A
2022-01-06,Cotton,Azadpur Mandi,Delhi,Delhi,56.74,9117,A
2022-01-06,Cotton,Vashi Market,Maharashtra,Mumbai,55.01,6177,C
2022-01-06,Cotton,Yeshwanthpur,Karnataka,Bangalore,58.32,9029,A
2022-01-06,Cotton,Ludhiana Mandi,Punjab,Ludhiana,55.00,4509,A
2022-01-06,Cotton,Lucknow Mandi,Uttar Pradesh,Lucknow,57.33,10165,C
2022-01-06,Soybean,Azadpur Mandi,Delhi,Delhi,41.33,11891,B
2022-01-06,Soybean,Vashi Market,Maharashtra,Mumbai,43.54,3093,A
2022-01-06,Soybean,Yeshwanthpur,Karnataka,Bangalore,40.79,8064,B
2022-01-06,Soybean,Ludhiana Mandi,Punjab,Ludhiana,45.48,3874,B
2022-01-06,Soybean,Lucknow Mandi,Uttar Pradesh,Lucknow,44.99,6517,C
2022-01-07,Tomato,Azadpur Mandi,Delhi,Delhi,26.32,2180,C
2022-01-07,Tomato,Vashi Market,Maharashtra,Mumbai,23.73,3827,B
2022-01-07,Tomato,Yeshwanthpur,Karnataka,Bangalore,23.11,8943,C
2022-01-07,Tomato,Ludhiana Mandi,Punjab,Ludhiana,28.13,11953,A
2022-01-07,Tomato,Lucknow Mandi,Uttar Pradesh,Lucknow,23.47,8930,C
2022-01-07,Onion,Azadpur Mandi,Delhi,Delhi,35.47,2223,B
2022-01-07,Onion,Vashi Market,Maharashtra,Mumbai,30.77,6225,B
2022-01-07,Onion,Yeshwanthpur,Karnataka,Bangalore,33.74,10261,B
2022-01-07,Onion,Ludhiana Mandi,Punjab,Ludhiana,33.83,10344,A
2022-01-07,Onion,Lucknow Mandi,Uttar Pradesh,Lucknow,35.26,8319,A
2022-01-07,Potato,Azadpur Mandi,Delhi,Delhi,17.95,4573,B
2022-01-07,Potato,Vashi Market,Maharashtra,Mumbai,19.41,6572,A
2022-01-07,Potato,Yeshwanthpur,Karnataka,Bangalore,21.20,6824,A
2022-01-07,Potato,Ludhiana Mandi,Punjab,Ludhiana,19.16,11117,C
2022-01-07,Potato,Lucknow Mandi,Uttar Pradesh,Lucknow,19.48,4452,B
2022-01-07,Wheat,Azadpur Mandi,Delhi,Delhi,19.02,3099,A
2022-01-07,Wheat,Vashi Market,Maharashtra,Mumbai,21.90,4323,A
2022-01-07,Wheat,Yeshwanthpur,Karnataka,Bangalore,23.83,8312,C
2022-01-07,Wheat,Ludhiana Mandi,Punjab,Ludhiana,22.42,7261,B
2022-01-07,Wheat,Lucknow Mandi,Uttar Pradesh,Lucknow,18.73,3817,C
2022-01-07,Rice,Azadpur Mandi,Delhi,Delhi,28.28,10869,C
2022-01-07,Rice,Vashi Market,Maharashtra,Mumbai,25.82,5663,A
2022-01-07,Rice,Yeshwanthpur,Karnataka,Bangalore,29.83,2479,C
2022-01-07,Rice,Ludhiana Mandi,Punjab,Ludhiana,31.42,3326,C
2022-01-07,Rice,Lucknow Mandi,Uttar Pradesh,Lucknow,26.19,6659,B
2022-01-07,Cotton,Azadpur Mandi,Delhi,Delhi,53.89,8151,A
2022-01-07,Cotton,Vashi Market,Maharashtra,Mumbai,54.44,11621,C
2022-01-07,Cotton,Yeshwanthpur,Karnataka,Bangalore,55.09,10584,A
2022-01-07,Cotton,Ludhiana Mandi,Punjab,Ludhiana,58.23,8551,A
2022-01-07,Cotton,Lucknow Mandi,Uttar Pradesh,Lucknow,58.34,11882,A
2022-01-07,Soybean,Azadpur Mandi,Delhi,Delhi,45.56,6177,A
2022-01-07,Soybean,Vashi Market,Maharashtra,Mumbai,45.44,9016,B
2022-01-07,Soybean,Yeshwanthpur,Karnataka,Bangalore,41.36,9173,A
2022-01-07,Soybean,Ludhiana Mandi,Punjab,Ludhiana,44.51,10516,C
2022-01-07,Soybean,Lucknow Mandi,Uttar Pradesh,Lucknow,40.11,7824,C
2022-01-08,Tomato,Azadpur Mandi,Delhi,Delhi,25.07,4427,A
2022-01-08,Tomato,Vashi Market,Maharashtra,Mumbai,27.62,3447,C
2022-01-08,Tomato,Yeshwanthpur,Karnataka,Bangalore,24.90,4676,A
2022-01-08,Tomato,Ludhiana Mandi,Punjab,Ludhiana,27.22,8404,B
2022-01-08,Tomato,Lucknow Mandi,Uttar Pradesh,Lucknow,24.60,6169,A
2022-01-08,Onion,Azadpur Mandi,Delhi,Delhi,31.26,7138,C
2022-01-08,Onion,Vashi Market,Maharashtra,Mumbai,29.99,3116,A
2022-01-08,Onion,Yeshwanthpur,Karnataka,Bangalore,33.40,11245,B
2022-01-08,Onion,Ludhiana Mandi,Punjab,Ludhiana,33.91,3793,C
2022-01-08,Onion,Lucknow Mandi,Uttar Pradesh,Lucknow,34.63,7650,A
2022-01-08,Potato,Azadpur Mandi,Delhi,Delhi,21.26,8381,C
2022-01-08,Potato,Vashi Market,Maharashtra,Mumbai,18.03,9291,B
2022-01-08,Potato,Yeshwanthpur,Karnataka,Bangalore,18.97,3605,B
2022-01-08,Potato,Ludhiana Mandi,Punjab,Ludhiana,15.87,11757,B
2022-01-08,Potato,Lucknow Mandi,Uttar Pradesh,Lucknow,16.62,11778,C
2022-01-08,Wheat,Azadpur Mandi,Delhi,Delhi,22.31,8263,C
2022-01-08,Wheat,Vashi Market,Maharashtra,Mumbai,23.74,10351,A
2022-01-08,Wheat,Yeshwanthpur,Karnataka,Bangalore,19.55,5927,A
2022-01-08,Wheat,Ludhiana Mandi,Punjab,Ludhiana,22.68,9572,A
2022-01-08,Wheat,Lucknow Mandi,Uttar Pradesh,Lucknow,21.76,7776,B
2022-01-08,Rice,Azadpur Mandi,Delhi,Delhi,28.89,11050,A
2022-01-08,Rice,Vashi Market,Maharashtra,Mumbai,29.97,11588,A
2022-01-08,Rice,Yeshwanthpur,Karnataka,Bangalore,25.94,11991,C
2022-01-08,Rice,Ludhiana Mandi,Punjab,Ludhiana,28.29,2063,B
2022-01-08,Rice,Lucknow Mandi,Uttar Pradesh,Lucknow,29.06,5458,A
2022-01-08,Cotton,Azadpur Mandi,Delhi,Delhi,57.31,5165,B
2022-01-08,Cotton,Vashi Market,Maharashtra,Mumbai,57.20,6890,C
2022-01-08,Cotton,Yeshwanthpur,Karnataka,Bangalore,56.16,9458,A
2022-01-08,Cotton,Ludhiana Mandi,Punjab,Ludhiana,54.49,8250,C
2022-01-08,Cotton,Lucknow Mandi,Uttar Pradesh,Lucknow,57.59,5318,B
2022-01-08,Soybean,Azadpur Mandi,Delhi,Delhi,41.93,10727,C
2022-01-08,Soybean,Vashi Market,Maharashtra,Mumbai,41.27,11563,A
2022-01-08,Soybean,Yeshwanthpur,Karnataka,Bangalore,43.46,2838,B
2022-01-08,Soybean,Ludhiana Mandi,Punjab,Ludhiana,42.76,8247,B
2022-01-08,Soybean,Lucknow Mandi,Uttar Pradesh,Lucknow,41.62,10421,C
2022-01-09,Tomato,Azadpur Mandi,Delhi,Delhi,27.76,2253,C
2022-01-09,Tomato,Vashi Market,Maharashtra,Mumbai,25.89,8998,C
2022-01-09,Tomato,Yeshwanthpur,Karnataka,Bangalore,28.55,7927,C
2022-01-09,Tomato,Ludhiana Mandi,Punjab,Ludhiana,25.73,2806,B
2022-01-09,Tomato,Lucknow Mandi,Uttar Pradesh,Lucknow,26.19,2902,A
2022-01-09,Onion,Azadpur Mandi,Delhi,Delhi,32.39,6857,C
2022-01-09,Onion,Vashi Market,Maharashtra,Mumbai,32.74,2826,C
2022-01-09,Onion,Yeshwanthpur,Karnataka,Bangalore,32.92,2979,B
2022-01-09,Onion,Ludhiana Mandi,Punjab,Ludhiana,32.51,2346,C
2022-01-09,Onion,Lucknow Mandi,Uttar Pradesh,Lucknow,33.01,3865,B
2022-01-09,Potato,Azadpur Mandi,Delhi,Delhi,17.61,3598,A
2022-01-09,Potato,Vashi Market,Maharashtra,Mumbai,19.72,2054,C
2022-01-09,Potato,Yeshwanthpur,Karnataka,Bangalore,19.28,5632,B
2022-01-09,Potato,Ludhiana Mandi,Punjab,Ludhiana,18.56,8338,B
2022-01-09,Potato,Lucknow Mandi,Uttar Pradesh,Lucknow,20.65,11215,B
2022-01-09,Wheat,Azadpur Mandi,Delhi,Delhi,23.93,2116,B
2022-01-09,Wheat,Vashi Market,Maharashtra,Mumbai,21.72,10847,B
2022-01-09,Wheat,Yeshwanthpur,Karnataka,Bangalore,22.27,8565,C
2022-01-09,Wheat,Ludhiana Mandi,Punjab,Ludhiana,19.52,9206,B
2022-01-09,Wheat,Lucknow Mandi,Uttar Pradesh,Lucknow,21.28,3540,B
2022-01-09,Rice,Azadpur Mandi,Delhi,Delhi,29.30,7144,A
2022-01-09,Rice,Vashi Market,Maharashtra,Mumbai,30.45,11362,A
2022-01-09,Rice,Yeshwanthpur,Karnataka,Bangalore,30.77,8161,B
2022-01-09,Rice,Ludhiana Mandi,Punjab,Ludhiana,28.55,3816,A
2022-01-09,Rice,Lucknow Mandi,Uttar Pradesh,Lucknow,30.17,3847,B
2022-01-09,Cotton,Azadpur Mandi,Delhi,Delhi,53.98,5988,B
2022-01-09,Cotton,Vashi Market,Maharashtra,Mumbai,56.76,7348,C
2022-01-09,Cotton,Yeshwanthpur,Karnataka,Bangalore,57.19,10259,B
2022-01-09,Cotton,Ludhiana Mandi,Punjab,Ludhiana,57.62,9248,A
2022-01-09,Cotton,Lucknow Mandi,Uttar Pradesh,Lucknow,54.78,4159,A
2022-01-09,Soybean,Azadpur Mandi,Delhi,Delhi,40.55,4934,B
2022-01-09,Soybean,Vashi Market,Maharashtra,Mumbai,41.77,5260,A
2022-01-09,Soybean,Yeshwanthpur,Karnataka,Bangalore,41.06,11230,C
2022-01-09,Soybean,Ludhiana Mandi,Punjab,Ludhiana,43.14,6741,A
2022-01-09,Soybean,Lucknow Mandi,Uttar Pradesh,Lucknow,43.80,5738,A
2022-01-10,Tomato,Azadpur Mandi,Delhi,Delhi,28.15,7409,C
2022-01-10,Tomato,Vashi Market,Maharashtra,Mumbai,25.46,5676,B
2022-01-10,Tomato,Yeshwanthpur,Karnataka,Bangalore,28.67,9709,A
2022-01-10,Tomato,Ludhiana Mandi,Punjab,Ludhiana,28.44,3104,C
2022-01-10,Tomato,Lucknow Mandi,Uttar Pradesh,Lucknow,28.11,11595,A
2022-01-10,Onion,Azadpur Mandi,Delhi,Delhi,31.07,7306,C
2022-01-10,Onion,Vashi Market,Maharashtra,Mumbai,30.82,7540,A
2022-01-10,Onion,Yeshwanthpur,Karnataka,Bangalore,30.04,3784,C
2022-01-10,Onion,Ludhiana Mandi,Punjab,Ludhiana,31.22,11430,B
2022-01-10,Onion,Lucknow Mandi,Uttar Pradesh,Lucknow,32.12,4649,C
